""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"(CGAGA)n"	15.6584654850438	0.0115702835175415	0.0199811711438491	0.584931890221155	0.558593514601151	NA
"RLTR53_Mm"	3919.67671789672	0.0124453679340979	0.0659163356165687	0.188796590242605	0.850252244376609	0.999457336074246
"(CTCTG)n"	1129.01949301355	0.0582463564006613	0.0758725663381004	0.767884294852221	0.442555928670429	0.999457336074246
"MER96B"	1488.81106249298	0.0326524243706378	0.0753283359145302	0.433415282062591	0.664713100288575	0.999457336074246
"LTR16E1"	3329.07678429732	0.150311875696637	0.0713819939693506	2.10602770477297	0.0352019458663536	0.999457336074246
"Eulor6C"	55.9213310915257	0.0233907301898407	0.0365390188073089	0.642345394945527	0.520648945829102	NA
"RLTR19D"	470.678138056431	0.0364985235193575	0.0693301067760801	0.526175738253555	0.598766109448281	0.999457336074246
"Tigger9a"	1106.1647756792	0.121486879551736	0.0763719790357798	1.59114335089696	0.111577318300784	0.999457336074246
"LTR106_Mam"	745.006260246725	0.0930296277297344	0.0737388364072552	1.26171722129155	0.207050557837742	0.999457336074246
"RLTR19A2"	551.877081532442	0.0459139583401078	0.0712218529415406	0.645177680435247	0.518812048393367	0.999457336074246
"L1MEg2"	580.062718174545	-0.0601619175553575	0.0721471451211758	-0.83411110812521	0.404218376155307	0.999457336074246
"MLT2F"	3946.34472589654	0.0720704373933576	0.0738494516293246	0.976029963585431	0.329049615982175	0.999457336074246
"LTR79"	1935.67797523077	-0.0449596576078099	0.0766062325668563	-0.586721240964886	0.557390939688703	0.999457336074246
"LTR52"	1352.06472020201	-0.115850195089044	0.0750512548207286	-1.54362230410774	0.122679858482756	0.999457336074246
"(TTATG)n"	136.037973813346	0.00989589842485124	0.0457926437151405	0.215825048727004	0.82912412237233	NA
"Charlie11"	261.195202165724	-0.00843636880621404	0.048254557049623	-0.175148084834815	0.860963275950178	NA
"LTRIS4B"	749.964936905792	0.113384901977633	0.0758055319521897	1.49641742514098	0.13454491148815	0.999457336074246
"(CAATA)n"	244.248225193022	-0.00738426332681989	0.0488532268784733	-0.151341197898655	0.879706572309324	NA
"UCON24"	87.7052839950527	0.00993781952052399	0.0425096458344714	0.234159603707618	0.814861074810266	NA
"MER54B"	836.773789165836	0.0893891036432463	0.075989734235895	1.17623546604018	0.239500795737692	0.999457336074246
"Charlie25"	1639.55601397009	-0.0406568051469975	0.076555792896001	-0.531280755427419	0.595224239218027	0.999457336074246
"(GAGTG)n"	173.055755246649	-0.00625508226415592	0.0537472144260714	-0.116456247874281	0.907290959236539	NA
"RLTR19C"	1819.0008171337	0.000469223544798606	0.0758668613301607	0.00618648769066932	0.995063928472111	0.999457336074246
"HY1"	143.716225936947	-0.0209794053712024	0.0407829003441737	-0.515507653003429	0.60619832313453	NA
"MLT1C-int"	696.308094633401	-0.0760265320817341	0.0748245897378804	-1.0168373754544	0.309230798783124	0.999457336074246
"UCON31"	433.824424625015	0.0290181753046699	0.0706654408535913	0.410815209521587	0.681208039730447	0.999457336074246
"UCON10"	398.316099987661	-0.0488780675950711	0.0679724661404831	-0.720068620499408	0.471482746787758	0.999457336074246
"RLTR31B_Mm"	2957.65130889795	0.0467820087097182	0.0668313133050459	0.70002146002654	0.483913902591415	0.999457336074246
